메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
디카페인 콜드브루라떼(ICED),162.0,9.0,15.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/콜드브루라떼-450x588.png"""
콜드브루라떼(연유)(ICED),379.0,36.0,209.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루연유라떼-450x588.png"""
콜드브루라떼(연유)(HOT),371.0,39.0,209.0,1,0,"https://paikdabang.com/wp-content/uploads/2023/02/콜드브루연유라떼HOT-450x588.png"""
디카페인 콜드브루라떼(연유)(ICED),357.0,40.0,15.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루연유라떼-450x588.png"""
콜드브루라떼(흑당)(ICED),312.0,44.0,209.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루흑당라떼-450x588.png"""
콜드브루라떼(흑당)(HOT),334.0,42.0,209.0,1,0,"https://paikdabang.com/wp-content/uploads/2023/02/콜드브루흑당라떼HOT-450x588.png"""
디카페인 콜드브루라떼(흑당)(ICED),280.0,45.0,15.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루흑당라떼-450x588.png"""
아이스티샷추가(아샷추),265.0,64.0,93.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/아샷추-450x588.png"""
빽사이즈 앗!메리카노(ICED),19.0,0.0,474.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/빽사이즈-앗메리카노-32oz-450x588.png"""
빽사이즈 원조커피(ICED),646.0,73.0,564.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/빽사이즈-원조커피-32oz-간얼음-450x588.png"""
빽사이즈 원조커피 제로슈거(ICED),497.0,0.0,686.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/빽사이즈-원조커피-32oz-간얼음-450x588.png"""
빽사이즈 빽’s카페라떼(ICED),278.0,17.0,474.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/빽사이즈-빽s-라떼-32oz-450x588.png"""
